invoice_id,enrollment_id,amount_due,due_date,status,created_at
039e40e8-084d-4c16-bd10-8881b237fc38,c53a40d2-9cb2-4245-86b1-e1d0b136b934,4891.23,2025-09-13,awaiting_proof,2025-08-30T21:15:52Z
3c12fb3f-508e-42ef-9884-1860381c4488,489d10e7-484e-4f1c-9b60-fa583a97e2c9,3731.23,2025-09-02,under_review,2025-08-13T17:28:31Z
407cb65a-17cc-431e-bde2-14ad355527f5,1cd00a33-039b-4bff-8bf4-655d9abbef7a,1848.41,2025-06-10,verified,2025-05-21T12:23:06Z
8feddbc9-9db3-40f0-abba-271abfbbd94c,5729cbc7-4fde-43cb-8d66-f1ebd95e22d2,3722.06,2025-06-20,verified,2025-06-10T22:07:23Z
82ff6ede-2b9d-4a71-81d2-fd7c69398ad7,01145f30-bb45-42d5-9de7-813ccb7e1b10,4031.35,2025-09-28,under_review,2025-09-13T11:53:58Z
9e1ba8fb-e0ec-44f5-be5a-f8564e759415,62bbe9c7-d8da-4e98-b0f9-f331a61d9743,5261.90,2025-07-10,awaiting_proof,2025-06-24T23:27:48Z
9c67be04-db68-4c78-8a39-ba2a04fe22ac,656f5414-e3a7-49ec-a65e-816c921081c8,8484.02,2025-09-25,verified,2025-09-13T19:37:42Z
a3267705-0aca-494d-a10e-b2be493f0674,509c094a-9757-4b0d-a711-b02b67b91fdb,7218.15,2025-08-01,under_review,2025-07-14T23:48:08Z
4e70f5f3-51ae-47da-81de-4e07e12f07d5,639c254b-4d04-4f19-a5be-e0ae79927177,3248.55,2025-07-30,rejected,2025-07-14T23:02:54Z
8be0e62a-f6d1-41bc-9cfd-8d896c76930b,bdf875c3-2968-4a3a-881e-990d25af10a8,6553.58,2025-09-03,verified,2025-08-20T12:32:48Z
c07a00a8-2112-44c4-8e25-538862c2a564,040e2e01-6e4c-4a3d-8eef-0a6f1e875597,2548.68,2025-08-11,verified,2025-08-04T15:05:06Z
42a598d8-bf77-417a-b445-0f202c77522a,5f81d17c-6abd-4472-aada-153313f37337,6270.15,2025-07-04,verified,2025-07-01T09:55:06Z
