payment_id,invoice_id,paid_amount,paid_at,method,proof_url,verify_status,verified_by,verified_at,verify_note
d7561891-c705-4e70-82cd-279cf53cc142,3c12fb3f-508e-42ef-9884-1860381c4488,3570.30,2025-08-14T17:28:31Z,bank_transfer,https://storage.googleapis.com/proofs/3c12fb3f-508e-42ef-9884-1860381c4488.jpg,pending,,,
4de52e0d-0def-4b45-a4cc-bc30e3d84c9b,407cb65a-17cc-431e-bde2-14ad355527f5,1699.04,2025-05-31T12:23:06Z,bank_transfer,https://storage.googleapis.com/proofs/407cb65a-17cc-431e-bde2-14ad355527f5.jpg,verified,9e522624-1f97-4302-9465-85b04a9b0e81,2025-06-03T12:23:06Z,OK
1599a92e-9237-4fbc-bfaf-57da27cc0c52,8feddbc9-9db3-40f0-abba-271abfbbd94c,3463.58,2025-06-14T22:07:23Z,card,https://storage.googleapis.com/proofs/8feddbc9-9db3-40f0-abba-271abfbbd94c.jpg,verified,54d74db3-6d7a-4c4d-98a8-6abbda4ba1b6,2025-06-11T22:07:23Z,OK
7e6610ee-441f-4620-8b37-c1fff7492c5c,82ff6ede-2b9d-4a71-81d2-fd7c69398ad7,3699.84,2025-09-16T11:53:58Z,cash,https://storage.googleapis.com/proofs/82ff6ede-2b9d-4a71-81d2-fd7c69398ad7.jpg,pending,,,
4f70dfa0-927c-4c15-b611-c64a51ada354,9c67be04-db68-4c78-8a39-ba2a04fe22ac,8092.74,2025-09-16T19:37:42Z,card,https://storage.googleapis.com/proofs/9c67be04-db68-4c78-8a39-ba2a04fe22ac.jpg,verified,54d74db3-6d7a-4c4d-98a8-6abbda4ba1b6,2025-09-17T19:37:42Z,OK
52f3a865-9c07-443b-a865-3db352b71c39,a3267705-0aca-494d-a10e-b2be493f0674,7174.17,2025-07-22T23:48:08Z,online,https://storage.googleapis.com/proofs/a3267705-0aca-494d-a10e-b2be493f0674.jpg,pending,,,
dc915867-6404-463a-bb15-cc4653056e2c,4e70f5f3-51ae-47da-81de-4e07e12f07d5,3006.34,2025-07-14T23:02:54Z,online,https://storage.googleapis.com/proofs/4e70f5f3-51ae-47da-81de-4e07e12f07d5.jpg,rejected,,,Mismatch
13572fe0-7fe4-4af9-a59d-9511d3a78dcb,8be0e62a-f6d1-41bc-9cfd-8d896c76930b,6013.39,2025-08-23T12:32:48Z,card,https://storage.googleapis.com/proofs/8be0e62a-f6d1-41bc-9cfd-8d896c76930b.jpg,verified,4695ed77-96b5-4555-a18d-6c14311baf8c,2025-08-30T12:32:48Z,OK
377c28c9-4c45-4d24-81a9-581bb24f8bdd,c07a00a8-2112-44c4-8e25-538862c2a564,2381.37,2025-08-11T15:05:06Z,cash,https://storage.googleapis.com/proofs/c07a00a8-2112-44c4-8e25-538862c2a564.jpg,verified,f08a689e-ac96-4a02-becc-822cfa936905,2025-08-10T15:05:06Z,OK
1a4438fc-b765-47fa-a1bf-95d46862b4fc,42a598d8-bf77-417a-b445-0f202c77522a,5860.96,2025-07-09T09:55:06Z,cash,https://storage.googleapis.com/proofs/42a598d8-bf77-417a-b445-0f202c77522a.jpg,verified,9e522624-1f97-4302-9465-85b04a9b0e81,2025-07-06T09:55:06Z,OK
f074798e-9794-4530-a583-51a61b12cfc5,af35622e-df20-4781-8d84-383228445571,5098.33,2025-09-07T20:53:56Z,online,https://storage.googleapis.com/proofs/af35622e-df20-4781-8d84-383228445571.jpg,verified,9e522624-1f97-4302-9465-85b04a9b0e81,2025-09-18T20:53:56Z,OK
7e10e8f9-2427-4280-b36d-f5b66b13d9c6,0a42ae39-0c57-4061-800d-2862976a9fac,8101.50,2025-09-19T11:24:49Z,online,https://storage.googleapis.com/proofs/0a42ae39-0c57-4061-800d-2862976a9fac.jpg,pending,,,
00f44aef-5cfa-4ef5-af23-390f4b72f863,5815b4bd-7356-4002-b8bb-8dcd8e4a351d,5422.97,2025-06-09T02:11:35Z,cash,https://storage.googleapis.com/proofs/5815b4bd-7356-4002-b8bb-8dcd8e4a351d.jpg,verified,54d74db3-6d7a-4c4d-98a8-6abbda4ba1b6,2025-06-03T02:11:35Z,OK
ee816519-69f7-4f27-a859-9fc92e91b102,6efe4e1f-2be1-40b9-bc1b-942b359949c8,3225.50,2025-07-18T04:22:51Z,cash,https://storage.googleapis.com/proofs/6efe4e1f-2be1-40b9-bc1b-942b359949c8.jpg,verified,9e522624-1f97-4302-9465-85b04a9b0e81,2025-07-25T04:22:51Z,OK
