event_id,student_id,tutor_id,class_id,event_type,query_text,ts
19428074-c165-4ce6-a582-99065d8a7881,e495ca44-e917-4d7c-bb07-cfc4b94568dc,85d6c5dd-7047-4f37-ae35-2d97607f7e08,d5709f58-73fa-49e5-a11b-4cbfcb692f4c,view_class,,2025-07-16T16:20:51Z
674f8439-18ff-433f-813d-ebead845ea95,f6fe8335-a40b-472d-b385-2edce6ca15ac,f1223440-d568-46ad-b2ab-fd2b0199cca8,815ca4ee-dc33-4fab-84f9-96e3501621f9,click,,2025-08-06T05:27:19Z
77e6c6fc-9f84-439e-b12a-8e9818b5a1ca,18127025-c867-414c-82d4-9c3fb01eef8f,092b46e6-3c54-4d2c-a45d-4cc6e70e115d,71403d51-92d2-4d42-935a-c5a2fbe2533b,view_tutor,,2025-07-22T16:39:14Z
4d0fa33d-f2c2-4358-9825-990e9d611e95,f368eafe-2f15-4715-a34d-57da7844a2b1,e0707ea2-ada7-4654-acb4-5d43215bd3e1,38d80728-4bc0-44f8-87d2-3382d734d4de,click,,2025-08-18T20:30:35Z
43e7abab-f6ac-46b9-97e6-a551db1ce78a,4ac7f7b7-02e2-4960-8d7d-c64a056e1310,22c9f1f6-5e4b-4600-8b98-9b2d31d6e8fa,06e547a5-59df-44e0-ba0d-2b3e28d348cd,view_class,,2025-09-10T23:35:27Z
78e4a73e-21f0-4b4e-8a2d-69a9c4736fce,5659512e-4e1d-41f4-af5e-decdaea95c6c,b5f2ee03-d29c-4511-bd97-e7f8c7de3e5f,a32ada7f-b861-4d6c-84cb-8a09d8753663,search,physics al,2025-07-20T08:15:43Z
6f21ba9a-da2e-43e8-8065-d9f0acc13f3b,0b4ba07f-946d-47c2-83bf-5afc325dbf5e,64cdd7d8-4433-43d3-9bdc-bda2afa9cda4,f8de95cc-4d41-448f-9b57-056f7a632d3d,click,,2025-07-07T18:30:39Z
9b3012bb-91b1-467d-806e-5f05dca10eb6,,9f114cbc-44bf-4ced-99c3-df425436c674,42cb81d9-5f34-43f0-accb-3b437a13b433,impression,,2025-06-28T21:03:19Z
8add0e85-7d5f-4710-b4c5-39217b6f1d8b,d9c9726d-61f7-4fad-8f4d-88cc84c26256,7699a03e-9bef-44ab-a476-d886f9b64244,9fd8ff9a-daae-44fe-bd6e-8d0111d5780d,bookmark,,2025-08-24T20:43:06Z
c48616ac-e145-4c81-b115-243f86033a55,30baefb1-2172-4fbc-bf03-0efd9cd22600,faf1f1d8-550e-44a7-99f2-d9feb44c250b,30c74aff-b000-4ec6-80f0-eddca994cfab,view_class,,2025-08-17T02:43:05Z
241671b1-30ff-45c0-a4b0-910a9e454481,44c6285f-9f3c-4778-8b7f-df03f13ccc42,2b90f44d-05ec-4eda-bcf9-f58051ac2b9f,1595ae21-eeea-4c74-939b-9ea376d85170,view_tutor,,2025-08-19T04:24:51Z
