session_id,class_id,session_date,start_time,end_time,room,is_cancelled,cancel_reason
28284f07-ff23-443d-ac15-cfafcaf3aced,2676eb3b-4cd9-4c0f-90e3-707b40b22cef,2025-08-03,10:00:00,11:30:00,,false,
2c48b74d-53c6-4704-ab7f-f60c5fd7d85b,2676eb3b-4cd9-4c0f-90e3-707b40b22cef,2025-08-10,10:00:00,11:30:00,,false,
c76c4a01-cd83-437d-ba15-c9053ff02dec,2676eb3b-4cd9-4c0f-90e3-707b40b22cef,2025-08-17,10:00:00,11:30:00,,false,
1a39eb43-ed22-409e-8744-778e2d567f3f,2676eb3b-4cd9-4c0f-90e3-707b40b22cef,2025-08-24,15:00:00,16:30:00,,false,
67769b86-12a2-484b-8b2c-c261c8cd3ddd,2676eb3b-4cd9-4c0f-90e3-707b40b22cef,2025-08-31,10:00:00,11:30:00,,false,
6e16adca-e201-49f5-8a57-b87d56db1c6f,2676eb3b-4cd9-4c0f-90e3-707b40b22cef,2025-09-07,15:00:00,16:30:00,,false,
8c6d1458-8c8d-447d-9597-75ae4c3d04d9,2676eb3b-4cd9-4c0f-90e3-707b40b22cef,2025-09-14,15:00:00,16:30:00,,false,
eb177b86-af13-4f64-beb8-5383875a3d54,7b97003e-851b-444c-82ff-c864e4d1ba59,2025-07-31,18:00:00,19:30:00,,false,
00be99e7-b778-49fb-8898-04f7a7e0dec5,7b97003e-851b-444c-82ff-c864e4d1ba59,2025-08-07,16:00:00,17:30:00,,false,
5dcad445-27a3-4831-90df-34ac8f179743,7b97003e-851b-444c-82ff-c864e4d1ba59,2025-08-14,18:00:00,19:30:00,,false,
53d17025-c0b4-4ab1-a9b8-ca5fcceb4d80,7b97003e-851b-444c-82ff-c864e4d1ba59,2025-08-21,18:00:00,19:30:00,,false,
10770479-9f06-49bc-b91e-7cff6be5bdad,7b97003e-851b-444c-82ff-c864e4d1ba59,2025-08-28,18:00:00,19:30:00,,false,
9029d08d-e969-4866-b2d2-f4b419d62e63,7b97003e-851b-444c-82ff-c864e4d1ba59,2025-09-04,18:00:00,19:30:00,,false,
6820ca6c-acd7-463a-9534-730c99c8a423,7b97003e-851b-444c-82ff-c864e4d1ba59,2025-09-11,18:00:00,19:30:00,,true,Weather
7960413d-9eb8-4327-b0f8-574394873325,7b97003e-851b-444c-82ff-c864e4d1ba59,2025-09-18,18:00:00,19:30:00,,false,
4763b8dd-352b-4fa8-9b8a-8059590bbdf5,40a689df-724f-43fe-9ddc-485ba82bad5a,2025-08-05,19:30:00,21:00:00,Room-3,true,Tutor unavailable
ef0c72ff-8214-4527-8589-961f340aa460,40a689df-724f-43fe-9ddc-485ba82bad5a,2025-08-12,19:30:00,21:00:00,Room-9,false,
658af310-dac6-4a93-8eb6-86625164d224,40a689df-724f-43fe-9ddc-485ba82bad5a,2025-08-19,19:30:00,21:00:00,Room-4,false,
94da4c9e-3fb4-42dc-88bc-1b63c59b2d81,40a689df-724f-43fe-9ddc-485ba82bad5a,2025-08-26,16:00:00,17:30:00,Room-8,false,
b8528ed6-76f2-4a8a-a731-f2cf2054ec52,40a689df-724f-43fe-9ddc-485ba82bad5a,2025-09-02,19:30:00,21:00:00,Room-8,false,
f912413f-cd17-4734-9950-f849e10b3f37,40a689df-724f-43fe-9ddc-485ba82bad5a,2025-09-09,18:00:00,19:30:00,Room-6,false,
883fe85a-10e0-4564-ad45-97f8f552ff64,40a689df-724f-43fe-9ddc-485ba82bad5a,2025-09-16,19:30:00,21:00:00,Room-2,false,
7bd3087d-4214-498a-a909-f97160dd6abe,40a689df-724f-43fe-9ddc-485ba82bad5a,2025-09-23,18:00:00,19:30:00,Room-7,false,
f4da35ac-6790-449a-a5c6-e6bddb970319,d370bf97-d385-4f88-970e-8ffb40d341d7,2025-08-02,17:00:00,18:30:00,Room-10,false,
6792bb28-815d-4d9e-88ab-0502d379974b,d370bf97-d385-4f88-970e-8ffb40d341d7,2025-08-09,15:00:00,16:30:00,Room-6,false,
aecd1d89-79da-44f0-9761-078a4d6c7350,d370bf97-d385-4f88-970e-8ffb40d341d7,2025-08-16,13:00:00,14:30:00,Room-3,false,
2d9648a9-c67e-4b45-920f-9a69a1a4aa34,d370bf97-d385-4f88-970e-8ffb40d341d7,2025-08-23,08:00:00,09:30:00,Room-10,false,
eeb8ae28-2857-4e17-b928-e336fb48a409,d370bf97-d385-4f88-970e-8ffb40d341d7,2025-08-30,10:00:00,11:30:00,Room-1,true,Tutor unavailable
7da34c13-9ac2-4a6d-9ebd-b5590a2317e0,d370bf97-d385-4f88-970e-8ffb40d341d7,2025-09-06,10:00:00,11:30:00,Room-7,false,
7584cd8d-8381-4916-84d9-295f01cea674,d370bf97-d385-4f88-970e-8ffb40d341d7,2025-09-13,10:00:00,11:30:00,Room-7,false,
0ebb6ad1-aa59-448f-8820-fe028bebd013,d370bf97-d385-4f88-970e-8ffb40d341d7,2025-09-20,10:00:00,11:30:00,Room-1,false,
c6f095fd-9041-41e7-a8a7-77b27f0b624e,c3714812-48cb-4f57-8a5f-963942cddc86,2025-08-03,13:00:00,14:30:00,Room-8,false,
15f14153-d1c0-4dee-b56d-129d8fb6f194,c3714812-48cb-4f57-8a5f-963942cddc86,2025-08-10,15:00:00,16:30:00,Room-3,false,
29b6f429-8af9-4bd4-b02d-ef251811460a,c3714812-48cb-4f57-8a5f-963942cddc86,2025-08-17,08:00:00,09:30:00,Room-2,false,
e03ef60f-0b40-484c-95a7-bd145f4c8923,c3714812-48cb-4f57-8a5f-963942cddc86,2025-08-24,13:00:00,14:30:00,Room-10,false,
15e242c2-855c-4f5d-9b5e-36d438cff9ea,c3714812-48cb-4f57-8a5f-963942cddc86,2025-08-31,15:00:00,16:30:00,Room-5,false,
d1e79f01-bda2-4cd6-b84a-dbf48fa8e3ec,c3714812-48cb-4f57-8a5f-963942cddc86,2025-09-07,13:00:00,14:30:00,Room-6,false,
4c5c4ce9-bf81-4cb5-83d5-2a361a9dd076,c3714812-48cb-4f57-8a5f-963942cddc86,2025-09-14,17:00:00,18:30:00,Room-9,false,
fb562e13-977f-47be-9a7f-ff1344dc0fff,c3714812-48cb-4f57-8a5f-963942cddc86,2025-09-21,17:00:00,18:30:00,Room-4,false,
0c516f1e-c33c-4538-a9e9-af9d42a20fa0,924e4540-a0c4-48b3-9de6-3cb88c4827fd,2025-07-31,18:00:00,19:30:00,,false,
bb0f26a9-2b92-476f-b021-023de6206f5b,924e4540-a0c4-48b3-9de6-3cb88c4827fd,2025-08-07,18:00:00,19:30:00,,false,
5bfe2bbe-6844-42ff-9103-19e2cc1a6ef8,924e4540-a0c4-48b3-9de6-3cb88c4827fd,2025-08-14,18:00:00,19:30:00,,false,
5d3d5d4f-bf3a-4a2d-a7b3-ee44a1e7b580,924e4540-a0c4-48b3-9de6-3cb88c4827fd,2025-08-21,18:00:00,19:30:00,,false,
c6a03662-faa0-4b91-af52-bb2a51b87f66,924e4540-a0c4-48b3-9de6-3cb88c4827fd,2025-08-28,16:00:00,17:30:00,,false,
64e042a2-9bb9-4deb-b340-c6ad694e4328,924e4540-a0c4-48b3-9de6-3cb88c4827fd,2025-09-04,16:00:00,17:30:00,,false,
