enrollment_id,class_id,student_id,status,enrolled_at,cancelled_at,cancel_reason
c53a40d2-9cb2-4245-86b1-e1d0b136b934,1ab69024-591b-43f6-b286-fd7895f3a078,1a0d1dda-ee40-49e7-bc76-d309dd765349,active,2025-08-30T21:15:52Z,,
489d10e7-484e-4f1c-9b60-fa583a97e2c9,cefe2eb2-85dc-44e3-b2b3-d24ba581e630,ccb8393d-28bb-4f84-83ae-7d74d722d540,cancelled,2025-08-13T17:28:31Z,2025-09-23T17:28:31Z,Payment issue
1cd00a33-039b-4bff-8bf4-655d9abbef7a,2726ed7a-8717-41e9-97ab-145b6e1a8d31,5f1a4d9f-270c-41e0-a60a-55d8f8cbcc96,completed,2025-05-21T12:23:06Z,,
5729cbc7-4fde-43cb-8d66-f1ebd95e22d2,1dc16369-90fc-41c8-a2e6-8335839890c9,550ed420-37c7-4953-a239-230731367456,pending,2025-06-10T22:07:23Z,,
01145f30-bb45-42d5-9de7-813ccb7e1b10,ef156ebe-8318-425e-9fad-1b76675f8202,65a4e0ab-9fdc-4d13-8b94-c7617854f478,completed,2025-09-13T11:53:58Z,,
62bbe9c7-d8da-4e98-b0f9-f331a61d9743,a32ada7f-b861-4d6c-84cb-8a09d8753663,a8b9ed34-ddd5-4985-b95f-dcc4ac3dc0d2,active,2025-06-24T23:27:48Z,,
656f5414-e3a7-49ec-a65e-816c921081c8,19315708-836c-4f54-a205-4e4d66d45736,6bb7b8f2-8716-458f-a401-6cf21743022c,pending,2025-09-13T19:37:42Z,,
509c094a-9757-4b0d-a711-b02b67b91fdb,98a5a549-15eb-4dcb-b47a-f730e61a21cb,19306e82-8907-46d4-bba1-b1d272f38226,pending,2025-07-14T23:48:08Z,,
639c254b-4d04-4f19-a5be-e0ae79927177,c7453343-f36c-44f6-a322-4307f82dd639,010d09a5-9420-41b5-8236-1a66e8bc55f9,completed,2025-07-14T23:02:54Z,,
bdf875c3-2968-4a3a-881e-990d25af10a8,3bd8ce68-aa47-48c0-b134-06010c9c68e0,07ee36b5-c76c-4827-a3b8-274532025d1f,active,2025-08-20T12:32:48Z,,
040e2e01-6e4c-4a3d-8eef-0a6f1e875597,9f093465-54d8-4a2c-bd69-48b3a626bb35,e9763a4c-be57-4aef-96f9-59860bcd59fb,completed,2025-08-04T15:05:06Z,,
5f81d17c-6abd-4472-aada-153313f37337,dfc38400-7b83-45a9-bb0b-17e6ab8ff7bf,a894c867-6737-4e6e-8362-5bda3be87a2d,active,2025-07-01T09:55:06Z,,
0910e818-205f-4b47-93cf-4844c71d912d,2b138327-3c83-473b-ad9c-784cbdde02d0,e71923cd-dda7-4781-a3b1-ad97c6eb54e5,pending,2025-09-04T20:53:56Z,,
8933d769-2282-4eb6-b06c-a9bad15a00eb,8f7ed006-b685-466b-b019-aa48696e00d5,3f1848ed-d4b0-430b-88cf-73ac20775fe6,active,2025-06-16T03:14:25Z,,
8d2f5e61-5b54-472c-bf57-7e7e43d3ceb9,4ade9cd7-baac-4f68-9bc7-0ba719a41c64,4e77e094-cc59-4757-910c-f39d10835fd8,completed,2025-09-12T11:24:49Z,,
2b9b35ee-db2c-4cea-808f-c68b2605671a,c2106cab-6304-44ca-900e-605b9cd01397,663586f3-c6bf-4710-a822-7db1d0f8915b,active,2025-07-22T17:01:07Z,,
d409ca03-12fb-435f-86e1-5e98f8bc084e,6211c8fd-6bb5-41ab-b4fa-189d97f14f1c,10eea505-22e7-42a8-9341-bb326c2e6550,completed,2025-08-22T11:35:52Z,,
