rating_id,student_id,tutor_id,class_id,stars,comment,created_at
b45d4853-e7c9-47dc-ab5d-328a25e8e2bc,a8b9ed34-ddd5-4985-b95f-dcc4ac3dc0d2,b5f2ee03-d29c-4511-bd97-e7f8c7de3e5f,a32ada7f-b861-4d6c-84cb-8a09d8753663,1,,2025-06-24T23:27:48Z
08852aae-e81c-456b-a500-e9dd02fc3e4a,a894c867-6737-4e6e-8362-5bda3be87a2d,b6496831-7b0d-4c72-a3a6-8d945375cb21,dfc38400-7b83-45a9-bb0b-17e6ab8ff7bf,4,,2025-07-01T09:55:06Z
a19ee7ad-b6b7-40f1-9582-8cfe6b727c39,3f1848ed-d4b0-430b-88cf-73ac20775fe6,d5021962-995f-4694-9148-9daa1f921ac8,8f7ed006-b685-466b-b019-aa48696e00d5,4,Thousand meet smile fire moment now light operation suffer keep over wide.,2025-06-16T03:14:25Z
520fe8dd-7ccf-4d0b-a975-9644a69d9227,4e77e094-cc59-4757-910c-f39d10835fd8,48ac07a9-ed25-4968-a328-9aed94c32307,4ade9cd7-baac-4f68-9bc7-0ba719a41c64,5,History compare their they key stand.,2025-09-12T11:24:49Z
bb533730-84e7-4419-bcfc-61beca5f19fa,10eea505-22e7-42a8-9341-bb326c2e6550,9808f420-ba3a-4f1b-83db-4aaefe6e1761,6211c8fd-6bb5-41ab-b4fa-189d97f14f1c,4,Child southern seem collection resource cup own.,2025-08-22T11:35:52Z
5da1d5d0-b236-485d-a665-83bcf5ec6453,69c8cff6-3ed4-41be-aa4f-b481c843eaf7,7c2c4ad2-4295-4528-8a54-f782b998dc9a,d370bf97-d385-4f88-970e-8ffb40d341d7,3,,2025-06-02T01:16:43Z
f5d6d4a8-beec-46b3-bc05-66af79c063b7,591b8825-3f96-405a-9947-4d94258fb594,b866fca3-113d-4d87-a5db-d05c7aefed89,458e54ae-bf8f-401a-9eea-034fa5d9c7a2,5,Under argue prove beautiful may seek beat.,2025-05-20T23:34:50Z
9b4f744d-b29a-450a-94e5-f658c3226abb,221a3c0c-6496-40bd-a17d-c0a2d6ed62fb,40224c4f-2328-4e79-a214-742e8e4bf6ca,96432522-9b26-46b1-aa71-ab0112bab375,5,Line throughout election fire close hundred dark.,2025-05-04T09:37:10Z
e0709d08-c81f-4321-b835-04a70413cc7b,e052c08a-eee0-450a-a503-db9e0d7aaea1,8e847aaa-5f2d-4ca7-be39-eebcbfb7c9f6,5bf529ce-46db-42e3-a24d-25bcbc24aa70,3,,2025-08-10T18:25:09Z
8e67238c-67b4-499a-8832-ca9ee60d7c40,bf63d756-e19f-42d0-a204-6f78c04a8b62,fe83c5fe-91dc-48f4-9334-ce567299e235,ea2350a5-815b-46a6-850a-5195c837da79,5,Without he along feeling along be fast modern benefit last rock later simple.,2025-04-29T10:48:10Z
f78fb280-0db5-4700-aba4-7ebd8c6bad90,29fc6e49-c205-4f29-a4b3-08d1e1f029a7,4b5da2b7-5f22-4529-9fad-05a5b02e6a54,4b5d2812-77fd-41f5-b8e3-1d846ac9db1b,3,Campaign event business affect beat check rather.,2025-05-27T15:25:55Z
e86a6067-fa82-4e4c-b940-47b5ce9f97c4,e2dca74c-227a-458b-a5a2-9b3d55fedc77,faf1f1d8-550e-44a7-99f2-d9feb44c250b,da0ecd6e-c297-433d-8f91-b7c63c45f4ae,4,,2025-07-01T04:26:24Z
